epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.17402,2.33002,3.24924,2.14554,0.00741,0.46512,0.08386,0.01493,1.64707,3.53925,2.05067,0.00018,0.00018,0.00018
2,6.76542,2.15092,3.03092,1.93026,0.01148,0.72093,0.06753,0.02261,1.82392,3.4382,1.9615,0.000372476,0.000372476,0.000372476
3,9.07282,1.99846,2.32055,1.79203,0.52019,0.17687,0.19661,0.0625,1.74807,3.00912,1.52662,0.000557032,0.000557032,0.000557032
4,11.6471,1.94937,2.07131,1.69074,0.34341,0.27907,0.23311,0.07607,2.016,2.65387,1.62043,0.000733668,0.000733668,0.000733668
5,13.8698,1.87636,2.05798,1.68189,0.65131,0.17426,0.42611,0.15393,2.26981,2.55519,1.86026,0.000902384,0.000902384,0.000902384
6,16.7379,1.77353,2.02443,1.61348,0.69144,0.41696,0.50592,0.18136,1.84418,2.42676,1.56499,0.00106318,0.00106318,0.00106318
7,19.1032,1.76434,2.01358,1.65719,0.69144,0.41696,0.50592,0.18136,1.84418,2.42676,1.56499,0.00121606,0.00121606,0.00121606
8,21.5751,1.65902,1.89561,1.56279,0.76604,0.44186,0.68403,0.29023,2.04926,2.14461,1.77381,0.00136101,0.00136101,0.00136101
9,24.1161,1.77649,1.87009,1.5929,0.84637,0.60465,0.75302,0.411,2.14116,2.51675,1.92182,0.00149805,0.00149805,0.00149805
10,26.5781,1.71894,1.81627,1.55063,0.84637,0.60465,0.75302,0.411,2.14116,2.51675,1.92182,0.00162716,0.00162716,0.00162716
11,28.8083,1.69899,1.75589,1.52196,0.64898,0.55898,0.6626,0.30904,2.29406,2.49433,2.02092,0.001604,0.001604,0.001604
12,31.6951,1.70509,1.74131,1.52271,0.90146,0.85115,0.9028,0.43475,1.51989,1.62859,1.3461,0.0015644,0.0015644,0.0015644
13,34.0251,1.57513,1.58799,1.46561,0.90146,0.85115,0.9028,0.43475,1.51989,1.62859,1.3461,0.0015248,0.0015248,0.0015248
14,36.2112,1.58043,1.56323,1.42956,0.80957,0.76744,0.81977,0.32089,1.92138,2.58148,1.61647,0.0014852,0.0014852,0.0014852
15,38.6742,1.64684,1.61807,1.53801,0.8228,0.88372,0.89359,0.41338,1.91914,1.98642,1.58687,0.0014456,0.0014456,0.0014456
16,41.1718,1.55926,1.67102,1.52131,0.8228,0.88372,0.89359,0.41338,1.91914,1.98642,1.58687,0.001406,0.001406,0.001406
17,43.6633,1.56454,1.46217,1.38617,0.92971,0.9229,0.96878,0.4893,1.67402,1.53626,1.40721,0.0013664,0.0013664,0.0013664
18,46.2557,1.56829,1.50967,1.46918,0.92971,0.9229,0.96878,0.4893,1.67402,1.53626,1.40721,0.0013268,0.0013268,0.0013268
19,49.0132,1.69115,1.55041,1.51183,0.85727,0.88372,0.84891,0.35517,1.82295,1.48205,1.4887,0.0012872,0.0012872,0.0012872
20,52.0007,1.70262,1.68335,1.57155,0.90513,0.93023,0.89652,0.37629,1.69448,1.44474,1.41319,0.0012476,0.0012476,0.0012476
21,54.8058,1.54445,1.475,1.47691,0.90513,0.93023,0.89652,0.37629,1.69448,1.44474,1.41319,0.001208,0.001208,0.001208
22,57.2137,1.48466,1.40499,1.34146,0.92817,0.90168,0.97278,0.5045,1.53365,1.42532,1.30932,0.0011684,0.0011684,0.0011684
23,60.0107,1.54707,1.50758,1.51385,0.90424,0.87845,0.95729,0.49819,1.50175,1.42347,1.31383,0.0011288,0.0011288,0.0011288
24,62.645,1.48581,1.32357,1.38416,0.90424,0.87845,0.95729,0.49819,1.50175,1.42347,1.31383,0.0010892,0.0010892,0.0010892
25,65.0872,1.45597,1.38533,1.38958,0.92769,0.89524,0.97631,0.51951,1.67008,1.41008,1.40391,0.0010496,0.0010496,0.0010496
26,67.746,1.50088,1.34415,1.39508,0.92769,0.89524,0.97631,0.51951,1.67008,1.41008,1.40391,0.00101,0.00101,0.00101
27,70.3405,1.51639,1.38714,1.42938,0.91107,0.88372,0.94729,0.46588,1.70105,1.21995,1.39921,0.0009704,0.0009704,0.0009704
28,73.0635,1.4591,1.36147,1.35847,0.93164,0.95092,0.95624,0.45991,1.6371,1.20207,1.32518,0.0009308,0.0009308,0.0009308
29,76.2395,1.49799,1.28196,1.42206,0.93164,0.95092,0.95624,0.45991,1.6371,1.20207,1.32518,0.0008912,0.0008912,0.0008912
30,78.7545,1.4468,1.3051,1.41187,0.92515,0.95349,0.96524,0.49615,1.58735,1.09263,1.31742,0.0008516,0.0008516,0.0008516
31,81.8343,1.4575,1.27665,1.39099,0.97453,0.93023,0.99146,0.58379,1.54747,1.06045,1.34104,0.000812,0.000812,0.000812
32,84.2263,1.45041,1.28048,1.37959,0.97453,0.93023,0.99146,0.58379,1.54747,1.06045,1.34104,0.0007724,0.0007724,0.0007724
33,87.0567,1.45395,1.19912,1.36623,0.99482,0.93023,0.98988,0.60352,1.50829,1.09478,1.32888,0.0007328,0.0007328,0.0007328
34,89.7326,1.42095,1.27961,1.35887,0.99482,0.93023,0.98988,0.60352,1.50829,1.09478,1.32888,0.0006932,0.0006932,0.0006932
35,92.381,1.38814,1.20775,1.35871,1,0.94041,0.99095,0.59483,1.61937,1.19925,1.36003,0.0006536,0.0006536,0.0006536
36,95.3491,1.41845,1.12224,1.27242,0.99004,0.97674,0.99255,0.54094,1.62316,1.26508,1.36454,0.000614,0.000614,0.000614
37,97.2631,1.34629,1.10007,1.27457,0.99004,0.97674,0.99255,0.54094,1.62316,1.26508,1.36454,0.0005744,0.0005744,0.0005744
38,100.108,1.39591,1.19287,1.31172,0.97609,0.9495,0.98873,0.51265,1.57601,1.19732,1.34451,0.0005348,0.0005348,0.0005348
