epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.344,1.8497,2.42848,0.01099,0.80348,0.71451,0.80274,0.39508,1.80526,1.59642,0.01678,0.00066,0.00066,0.00066
2,58.237,1.76635,1.38783,0.0106,0.80269,0.78704,0.81643,0.41139,1.6563,1.40263,0.01402,0.0013004,0.0013004,0.0013004
3,89.3567,1.80949,1.22815,0.01004,0.83315,0.79369,0.86579,0.41547,1.8623,1.06477,0.01702,0.0019144,0.0019144,0.0019144
4,119.037,1.86771,1.26589,0.01107,0.88815,0.80878,0.88318,0.46228,1.66847,1.11914,0.01433,0.0018812,0.0018812,0.0018812
5,149.166,1.72089,1.14723,0.0098,0.89994,0.80401,0.88558,0.45833,1.6859,1.03386,0.01591,0.0018416,0.0018416,0.0018416
6,178.752,1.73488,1.14882,0.01032,0.92428,0.86646,0.94033,0.50455,1.511,0.85937,0.01175,0.001802,0.001802,0.001802
7,209.907,1.73514,1.12568,0.01048,0.86905,0.86027,0.90828,0.47416,1.67506,0.83928,0.01495,0.0017624,0.0017624,0.0017624
8,238.737,1.69713,0.99964,0.0096,0.92282,0.86719,0.92961,0.51256,1.56295,0.90247,0.01367,0.0017228,0.0017228,0.0017228
9,268.847,1.62696,0.91981,0.00901,0.93105,0.87523,0.95602,0.47263,1.79806,0.72741,0.01569,0.0016832,0.0016832,0.0016832
10,298.941,1.62003,0.89875,0.0093,0.90033,0.87346,0.92534,0.53029,1.58279,0.88266,0.01502,0.0016436,0.0016436,0.0016436
11,328.875,1.60651,0.87197,0.00953,0.93853,0.8954,0.96332,0.53879,1.60737,0.72703,0.01413,0.001604,0.001604,0.001604
12,359.298,1.58844,0.85192,0.00964,0.94095,0.88522,0.95042,0.52509,1.5507,0.74853,0.01397,0.0015644,0.0015644,0.0015644
13,388.824,1.59625,0.88837,0.00957,0.91158,0.89506,0.94804,0.55175,1.4778,0.81222,0.01257,0.0015248,0.0015248,0.0015248
14,418.55,1.55265,0.83881,0.00892,0.9597,0.89352,0.96065,0.55202,1.4595,0.66853,0.01241,0.0014852,0.0014852,0.0014852
15,448.995,1.57255,0.83237,0.00889,0.93843,0.8703,0.95407,0.55229,1.57724,0.67419,0.01408,0.0014456,0.0014456,0.0014456
