epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5971,1.8497,2.42848,0.01099,0.80348,0.71451,0.80274,0.39508,1.80526,1.59642,0.01678,0.00066,0.00066,0.00066
2,61.2635,1.75248,1.4116,0.01041,0.69036,0.74074,0.76815,0.37805,1.68854,1.4226,0.01521,0.00131616,0.00131616,0.00131616
3,92.6248,1.79657,1.32111,0.00995,0.75671,0.72476,0.81976,0.41631,1.678,1.40794,0.01352,0.00196176,0.00196176,0.00196176
4,123.498,1.87344,1.39478,0.01089,0.81841,0.7963,0.86013,0.4279,1.79624,1.124,0.01631,0.00195248,0.00195248,0.00195248
5,154.704,1.74431,1.26082,0.00987,0.88797,0.79506,0.88109,0.40948,1.78383,1.11515,0.01482,0.00193664,0.00193664,0.00193664
6,186.076,1.77698,1.2105,0.01061,0.89797,0.81487,0.90234,0.46861,1.6312,0.86288,0.01299,0.0019208,0.0019208,0.0019208
7,218.177,1.7622,1.11996,0.0105,0.89362,0.8287,0.91306,0.44932,1.7375,0.91278,0.01413,0.00190496,0.00190496,0.00190496
8,249.087,1.72339,0.99168,0.00992,0.88149,0.87234,0.92521,0.47975,1.67355,0.84935,0.01443,0.00188912,0.00188912,0.00188912
9,280.877,1.6979,0.98086,0.00946,0.90603,0.8642,0.93544,0.41693,1.78192,1.06701,0.01482,0.00187328,0.00187328,0.00187328
10,313.575,1.64129,0.95068,0.00941,0.93803,0.85957,0.94381,0.4972,1.61555,0.77633,0.01318,0.00185744,0.00185744,0.00185744
11,346.135,1.61364,0.92515,0.00948,0.92209,0.87673,0.93917,0.5066,1.7084,0.81132,0.01623,0.0018416,0.0018416,0.0018416
12,379.603,1.59922,0.89199,0.0098,0.93171,0.86111,0.94922,0.58645,1.42114,0.69286,0.01254,0.00182576,0.00182576,0.00182576
13,413.701,1.60988,0.92444,0.00938,0.92687,0.88017,0.94201,0.57419,1.41732,0.84361,0.01234,0.00180992,0.00180992,0.00180992
14,447.373,1.59175,0.89038,0.00916,0.89808,0.87037,0.92973,0.46626,1.68727,0.8026,0.01507,0.00179408,0.00179408,0.00179408
15,481.201,1.59938,0.86828,0.00903,0.9025,0.85494,0.93135,0.536,1.5468,0.74474,0.01373,0.00177824,0.00177824,0.00177824
16,515.962,1.60587,0.85267,0.00927,0.95471,0.87809,0.94845,0.56162,1.48142,0.63432,0.01384,0.0017624,0.0017624,0.0017624
17,550.184,1.59934,0.90673,0.00939,0.93081,0.87809,0.95292,0.49999,1.61341,0.75302,0.01309,0.00174656,0.00174656,0.00174656
18,583.164,1.535,0.83448,0.0088,0.93725,0.90278,0.96069,0.55926,1.46321,0.64645,0.01211,0.00173072,0.00173072,0.00173072
19,617.675,1.49738,0.79906,0.00841,0.95878,0.89747,0.96424,0.58533,1.40426,0.67286,0.01139,0.00171488,0.00171488,0.00171488
20,652.435,1.50865,0.7665,0.00883,0.96081,0.90791,0.95792,0.55233,1.53267,0.64532,0.01253,0.00169904,0.00169904,0.00169904
21,692.653,1.55365,0.85005,0.00928,0.94824,0.89969,0.96339,0.56454,1.47401,0.66474,0.01333,0.0016832,0.0016832,0.0016832
22,737.102,1.52629,0.78389,0.00852,0.93039,0.8251,0.92922,0.41737,1.84286,0.79749,0.01605,0.00166736,0.00166736,0.00166736
23,781.603,1.5129,0.7458,0.00843,0.94513,0.93036,0.96821,0.58436,1.44213,0.61607,0.01258,0.00165152,0.00165152,0.00165152
24,823.53,1.4456,0.71673,0.0079,0.95589,0.90586,0.96639,0.59976,1.36445,0.61398,0.0119,0.00163568,0.00163568,0.00163568
25,863.968,1.42715,0.69541,0.00794,0.95548,0.92742,0.9702,0.58117,1.49418,0.54333,0.0124,0.00161984,0.00161984,0.00161984
26,903.857,1.43925,0.70785,0.00844,0.94932,0.91667,0.97018,0.5787,1.49417,0.58259,0.01251,0.001604,0.001604,0.001604
27,947.129,1.45015,0.73529,0.00824,0.95351,0.93364,0.97244,0.60134,1.41453,0.54485,0.01181,0.00158816,0.00158816,0.00158816
28,989.655,1.44215,0.76218,0.00879,0.94019,0.92901,0.97306,0.51618,1.61745,0.6044,0.01317,0.00157232,0.00157232,0.00157232
29,1031.99,1.45831,0.73584,0.00828,0.9425,0.9321,0.97152,0.58018,1.48807,0.59893,0.0125,0.00155648,0.00155648,0.00155648
30,1074.21,1.44378,0.71005,0.00833,0.97949,0.90741,0.97251,0.62613,1.34942,0.54856,0.01178,0.00154064,0.00154064,0.00154064
31,1115.96,1.4167,0.6669,0.00777,0.95535,0.92446,0.97115,0.57965,1.39257,0.57648,0.01064,0.0015248,0.0015248,0.0015248
32,1156.81,1.4575,0.73542,0.00887,0.96572,0.9131,0.97615,0.64049,1.30931,0.54749,0.01266,0.00150896,0.00150896,0.00150896
