epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,57.4404,0.35727,0.98188,1,0.0645,0.000471753,0.000471753,0.000471753
2,115.06,0.07494,0.92754,1,0.61088,0.000929314,0.000929314,0.000929314
3,172.548,0.12833,0.69686,1,1.23069,0.00136801,0.00136801,0.00136801
4,230.278,0.07124,0.96135,1,0.1272,0.00134412,0.00134412,0.00134412
5,287.905,0.03225,0.98551,1,0.0576,0.00131582,0.00131582,0.00131582
6,346.034,0.01744,0.95169,1,0.25709,0.00128753,0.00128753,0.00128753
7,403.286,0.01579,0.98068,1,0.04668,0.00125923,0.00125923,0.00125923
8,460.966,0.04382,0.97343,1,0.1269,0.00123094,0.00123094,0.00123094
9,518.965,0.03079,0.96981,1,0.12967,0.00120265,0.00120265,0.00120265
10,576.301,0.01502,0.97464,1,0.06748,0.00117435,0.00117435,0.00117435
11,633.532,0.02029,0.9843,1,0.05076,0.00114606,0.00114606,0.00114606
12,690.616,0.01669,0.97101,1,0.09363,0.00111776,0.00111776,0.00111776
13,748.986,0.02631,0.99034,1,0.05576,0.00108947,0.00108947,0.00108947
14,806.316,0.0503,0.94444,1,0.09319,0.00106118,0.00106118,0.00106118
15,863.219,0.02365,0.95169,1,0.08192,0.00103288,0.00103288,0.00103288
16,920.076,0.00947,0.96739,1,0.07624,0.00100459,0.00100459,0.00100459
17,976.857,0.00743,0.99275,1,0.04249,0.000976293,0.000976293,0.000976293
18,1034.47,0.0052,0.95894,1,0.11553,0.000947999,0.000947999,0.000947999
19,1091.88,0.00243,0.96981,1,0.06101,0.000919704,0.000919704,0.000919704
20,1149.63,0.00228,0.96135,1,0.09474,0.00089141,0.00089141,0.00089141
21,1207.92,0.0029,0.95773,1,0.10208,0.000863116,0.000863116,0.000863116
22,1264.97,0.00276,0.96981,1,0.12155,0.000834822,0.000834822,0.000834822
23,1322.34,0.00062,0.96014,1,0.14735,0.000806528,0.000806528,0.000806528
24,1380.26,0.00128,0.95773,1,0.11831,0.000778233,0.000778233,0.000778233
25,1437.12,0.00048,0.97101,1,0.12902,0.000749939,0.000749939,0.000749939
26,1494.62,0.00144,0.97585,1,0.08241,0.000721645,0.000721645,0.000721645
27,1552.48,0.00038,0.97343,1,0.10431,0.000693351,0.000693351,0.000693351
28,1610.34,0.00042,0.96135,1,0.16581,0.000665057,0.000665057,0.000665057
29,1668.26,0.00016,0.96498,1,0.12507,0.000636762,0.000636762,0.000636762
30,1725.37,0.00021,0.95894,1,0.13207,0.000608468,0.000608468,0.000608468
31,1783.11,0.0011,0.94082,1,0.15431,0.000580174,0.000580174,0.000580174
32,1840.65,0.00073,0.93961,1,0.17942,0.00055188,0.00055188,0.00055188
33,1898.01,0.00273,0.96377,1,0.12118,0.000523586,0.000523586,0.000523586
34,1955.47,0.00312,0.91546,1,0.44281,0.000495291,0.000495291,0.000495291
35,2012.46,0.00315,0.97343,1,0.10397,0.000466997,0.000466997,0.000466997
36,2069.46,0.00408,0.96256,1,0.1907,0.000438703,0.000438703,0.000438703
37,2126.91,0.00127,0.9529,1,0.1784,0.000410409,0.000410409,0.000410409
38,2184.21,0.00047,0.96739,1,0.15947,0.000382115,0.000382115,0.000382115
39,2240.72,0.00017,0.97705,1,0.14788,0.00035382,0.00035382,0.00035382
40,2298.18,0.00116,0.97705,1,0.13579,0.000325526,0.000325526,0.000325526
41,2355.62,0.00041,0.97585,1,0.13593,0.000297232,0.000297232,0.000297232
42,2416.96,0.00045,0.96498,1,0.13823,0.000268938,0.000268938,0.000268938
43,2474.97,0.0001,0.97101,1,0.12997,0.000240644,0.000240644,0.000240644
44,2538.68,0.00025,0.96256,1,0.15248,0.000212349,0.000212349,0.000212349
45,2601.04,0.00017,0.96377,1,0.14287,0.000184055,0.000184055,0.000184055
46,2664.01,0.00011,0.97222,1,0.12864,0.000155761,0.000155761,0.000155761
47,2730.35,0.00023,0.97464,1,0.12663,0.000127467,0.000127467,0.000127467
48,2796.17,8e-05,0.96014,1,0.13868,9.91726e-05,9.91726e-05,9.91726e-05
49,2859.8,0.00013,0.98188,1,0.1209,7.08784e-05,7.08784e-05,7.08784e-05
50,2922.08,5e-05,0.98068,1,0.12727,4.25842e-05,4.25842e-05,4.25842e-05
