epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.57752,2.07323,3.9545,0.02292,0.38596,0.49036,0.38392,0.15679,1.58572,2.98341,0.02233,0.0002,0.0002,0.0002
2,8.16729,1.61557,2.15599,0.01601,0.78086,0.67218,0.80291,0.37635,1.74642,1.29732,0.026,0.000416535,0.000416535,0.000416535
3,11.4644,1.48538,1.25535,0.0141,0.82071,0.73829,0.81391,0.3902,1.82491,1.16135,0.02656,0.00062944,0.00062944,0.00062944
4,14.6621,1.47838,0.97487,0.01458,0.84072,0.69797,0.78889,0.41114,1.74559,1.15361,0.0242,0.000838715,0.000838715,0.000838715
5,17.7602,1.44729,0.83965,0.01396,0.75322,0.60606,0.70381,0.3779,1.67051,1.31316,0.02183,0.00104436,0.00104436,0.00104436
6,20.914,1.48272,0.77179,0.01356,0.84303,0.79614,0.87674,0.48507,1.53801,0.79719,0.01991,0.00124637,0.00124637,0.00124637
7,24.0438,1.36597,0.67334,0.01284,0.89328,0.82645,0.9144,0.51928,1.47289,0.69512,0.01977,0.00144476,0.00144476,0.00144476
8,27.1308,1.39526,0.69088,0.01251,0.94044,0.84298,0.95013,0.57233,1.38179,0.59843,0.01847,0.00163952,0.00163952,0.00163952
9,30.1659,1.32715,0.57751,0.0115,0.9279,0.90634,0.95619,0.58638,1.37062,0.63397,0.01699,0.00183064,0.00183064,0.00183064
10,33.2698,1.41304,0.6599,0.01264,0.83768,0.85124,0.89686,0.51322,1.51894,0.71816,0.0191,0.0018515,0.0018515,0.0018515
11,36.2331,1.33746,0.60265,0.01202,0.87733,0.89532,0.94753,0.57967,1.34659,1.04877,0.01651,0.001835,0.001835,0.001835
12,39.197,1.28527,0.60259,0.01174,0.87103,0.89306,0.94375,0.57488,1.38203,0.69155,0.0174,0.0018185,0.0018185,0.0018185
13,42.1225,1.33173,0.53605,0.01146,0.90723,0.90634,0.9595,0.59889,1.33393,0.72572,0.01706,0.001802,0.001802,0.001802
14,45.1542,1.35627,0.55888,0.01263,0.94668,0.87052,0.96156,0.61085,1.32064,0.66195,0.01746,0.0017855,0.0017855,0.0017855
15,48.1729,1.27877,0.53269,0.01182,0.92217,0.90358,0.96043,0.5952,1.35547,0.69635,0.01697,0.001769,0.001769,0.001769
16,51.1285,1.33161,0.50353,0.0121,0.92425,0.87392,0.96034,0.58353,1.41308,0.66219,0.01908,0.0017525,0.0017525,0.0017525
17,54.0752,1.28769,0.50683,0.01149,0.93334,0.93664,0.98133,0.65469,1.21981,0.47199,0.0155,0.001736,0.001736,0.001736
18,57.0929,1.26251,0.50964,0.01161,0.93026,0.95545,0.97793,0.60778,1.37548,0.43194,0.01883,0.0017195,0.0017195,0.0017195
19,60.0453,1.24211,0.48139,0.01123,0.94071,0.93388,0.97716,0.61554,1.32292,0.4664,0.0171,0.001703,0.001703,0.001703
20,62.9929,1.20186,0.45665,0.01057,0.94579,0.96694,0.98132,0.64223,1.21294,0.43597,0.01368,0.0016865,0.0016865,0.0016865
21,65.916,1.23085,0.448,0.01045,0.96528,0.91914,0.97969,0.63187,1.19909,0.45304,0.01432,0.00167,0.00167,0.00167
22,68.8887,1.20792,0.44114,0.01042,0.9423,0.91736,0.97698,0.65161,1.16281,0.45338,0.0131,0.0016535,0.0016535,0.0016535
23,71.8468,1.18191,0.45406,0.00993,0.94253,0.9697,0.98938,0.6432,1.2225,0.4068,0.01441,0.001637,0.001637,0.001637
24,74.8139,1.16974,0.44808,0.0104,0.95903,0.95317,0.98759,0.67738,1.11341,0.39012,0.01231,0.0016205,0.0016205,0.0016205
25,77.8175,1.11362,0.39295,0.00911,0.93572,0.9697,0.98838,0.67431,1.14331,0.3959,0.01302,0.001604,0.001604,0.001604
26,80.825,1.18885,0.42191,0.01118,0.94617,0.95317,0.98407,0.65255,1.19229,0.39261,0.01467,0.0015875,0.0015875,0.0015875
27,83.784,1.26418,0.45146,0.0121,0.96976,0.95317,0.98314,0.63097,1.30899,0.38091,0.01562,0.001571,0.001571,0.001571
28,86.8417,1.17534,0.41978,0.01038,0.97744,0.95506,0.98951,0.66232,1.19952,0.38093,0.01352,0.0015545,0.0015545,0.0015545
29,89.8117,1.14422,0.40533,0.01,0.95125,0.98898,0.99199,0.66805,1.17592,0.35027,0.01385,0.001538,0.001538,0.001538
30,92.7833,1.1397,0.4113,0.01013,0.9718,0.94928,0.98994,0.67499,1.13206,0.35573,0.01221,0.0015215,0.0015215,0.0015215
31,95.7883,1.09039,0.40284,0.00945,0.98056,0.9728,0.99385,0.66303,1.21423,0.35165,0.01514,0.001505,0.001505,0.001505
32,98.8094,1.11101,0.40111,0.00995,0.97678,0.94766,0.99185,0.69112,1.11483,0.34679,0.01275,0.0014885,0.0014885,0.0014885
33,101.85,1.09644,0.39139,0.00934,0.97701,0.9697,0.99269,0.69709,1.06936,0.32279,0.01203,0.001472,0.001472,0.001472
34,104.928,1.05443,0.37152,0.00891,0.95644,0.96694,0.99046,0.68063,1.13815,0.38242,0.01282,0.0014555,0.0014555,0.0014555
35,107.896,1.13041,0.40764,0.00988,0.93743,0.95317,0.98615,0.67898,1.16388,0.39095,0.01363,0.001439,0.001439,0.001439
36,110.872,1.10619,0.39346,0.00931,0.98598,0.94215,0.98512,0.6656,1.20132,0.37587,0.01371,0.0014225,0.0014225,0.0014225
37,113.844,1.1394,0.40105,0.01022,0.95861,0.95716,0.97926,0.65794,1.21147,0.43804,0.01585,0.001406,0.001406,0.001406
38,116.855,1.09432,0.40681,0.00927,0.97077,0.97245,0.99202,0.67221,1.18442,0.33729,0.01443,0.0013895,0.0013895,0.0013895
39,119.805,1.10677,0.43077,0.00989,0.95233,0.95592,0.98576,0.68282,1.16911,0.37724,0.01405,0.001373,0.001373,0.001373
40,122.795,1.12148,0.41443,0.0099,0.9775,0.95763,0.98052,0.65862,1.18861,0.4204,0.01426,0.0013565,0.0013565,0.0013565
41,125.739,1.11969,0.40682,0.00967,0.94131,0.96419,0.98061,0.67026,1.18721,0.42019,0.01414,0.00134,0.00134,0.00134
42,128.753,1.06493,0.38086,0.00892,0.97296,0.95041,0.9899,0.69215,1.15674,0.3973,0.01291,0.0013235,0.0013235,0.0013235
43,131.738,1.07845,0.38801,0.00905,0.96851,0.93188,0.9812,0.70991,1.08697,0.37993,0.01221,0.001307,0.001307,0.001307
44,134.816,1.07165,0.38729,0.00887,0.97391,0.93388,0.98659,0.68656,1.17652,0.42878,0.01342,0.0012905,0.0012905,0.0012905
45,137.788,1.02935,0.36679,0.00898,0.95602,0.95811,0.98598,0.70614,1.10833,0.41964,0.01302,0.001274,0.001274,0.001274
46,140.801,1.0293,0.36163,0.00869,0.95763,0.95592,0.98476,0.70263,1.11892,0.44429,0.01305,0.0012575,0.0012575,0.0012575
47,143.841,1.03999,0.3923,0.00896,0.93195,0.98097,0.98445,0.6932,1.08999,0.41877,0.01298,0.001241,0.001241,0.001241
48,146.872,1.02138,0.38263,0.00836,0.96924,0.95483,0.98791,0.68407,1.10562,0.35204,0.01232,0.0012245,0.0012245,0.0012245
49,149.834,1.03611,0.39383,0.00855,0.95405,0.97235,0.98565,0.6951,1.08605,0.33947,0.01204,0.001208,0.001208,0.001208
50,152.838,1.00644,0.37418,0.00846,0.98847,0.94428,0.99111,0.65838,1.18664,0.3586,0.01379,0.0011915,0.0011915,0.0011915
51,155.805,0.95685,0.31999,0.00754,0.97434,0.96143,0.97949,0.68558,1.07747,0.41697,0.01186,0.001175,0.001175,0.001175
52,158.78,1.0341,0.36075,0.00934,0.97974,0.93388,0.9818,0.65742,1.24272,0.44816,0.01519,0.0011585,0.0011585,0.0011585
53,161.768,1.01411,0.37949,0.00845,0.97499,0.95317,0.98652,0.69223,1.10147,0.3846,0.01256,0.001142,0.001142,0.001142
54,164.79,0.99812,0.3609,0.00885,0.97162,0.97245,0.98941,0.70006,1.08846,0.35739,0.01222,0.0011255,0.0011255,0.0011255
55,167.838,0.95686,0.35465,0.00765,0.97421,0.93673,0.98982,0.68709,1.09093,0.40217,0.01194,0.001109,0.001109,0.001109
56,170.806,0.96889,0.33398,0.00778,0.97469,0.95477,0.9882,0.70189,1.07343,0.3815,0.01201,0.0010925,0.0010925,0.0010925
57,173.757,0.9787,0.34652,0.00801,0.97503,0.97245,0.98825,0.70831,1.06402,0.3664,0.01185,0.001076,0.001076,0.001076
58,176.762,0.91238,0.3113,0.00736,0.97195,0.95444,0.98752,0.70921,1.07336,0.37303,0.01203,0.0010595,0.0010595,0.0010595
59,179.763,0.93362,0.32484,0.0075,0.96738,0.94766,0.98002,0.69865,1.1137,0.4445,0.01267,0.001043,0.001043,0.001043
60,182.78,0.9358,0.33163,0.00741,0.97219,0.9449,0.98391,0.68698,1.16438,0.41708,0.01422,0.0010265,0.0010265,0.0010265
61,185.762,0.93611,0.33348,0.00816,0.96141,0.96079,0.98545,0.70215,1.09513,0.38632,0.01259,0.00101,0.00101,0.00101
62,188.766,0.91593,0.31614,0.00768,0.96635,0.94937,0.98132,0.6958,1.14978,0.41222,0.01264,0.0009935,0.0009935,0.0009935
63,191.773,0.94417,0.33498,0.00762,0.97741,0.95364,0.98552,0.70439,1.11847,0.37336,0.01273,0.000977,0.000977,0.000977
64,194.75,0.92016,0.33455,0.00706,0.97397,0.96419,0.98931,0.717,1.082,0.36324,0.01216,0.0009605,0.0009605,0.0009605
65,197.766,0.9052,0.30973,0.00748,0.96684,0.96382,0.99088,0.71783,1.07934,0.35926,0.01187,0.000944,0.000944,0.000944
66,200.8,0.87216,0.29507,0.00714,0.97798,0.97878,0.99195,0.71404,1.05401,0.31983,0.01178,0.0009275,0.0009275,0.0009275
